"Contract","Title","Company","PDF URL","Country","Concession/License name","Signature date","Language","Disclosure mode","Host gov contract"
"India Block-DS-ONN-2003/2 dd20050923 PSC","PSC","Gail (India) Limited, Jubilant Capital Pvt. Limited, GeoGlobal Resources (Barbados) Inc","http://downloads.openoil.net/contracts/in/in_Block-DS-ONN-2003-2_dd20050923_PSC_Gail_Jubilant_Geoglobal.pdf","IN","","2005-09-23T00:00:00","English","corporate","yes"
"India Block-KG-OSN-2001/2 dd20030327 Participating-Interest-Agree","Participating-Interest-Agree","Geoglobal Resources (India) Inc, Roy Group (Mauritius) Inc","http://downloads.openoil.net/contracts/in/in_Block-KG-OSN-2001/2_dd20030327_Participating-Interest-Agree_Geoglobal_Roy-Group.pdf","IN","","2003-03-27T00:00:00","English","corporate","no"
"India Block-KG-OSN-2001/3 dd20030807 JOA","JOA","Gujarat State Petroleum Company, Jubilant Enpro Limited, GeoGlobal Resources (India) Inc","http://downloads.openoil.net/contracts/in/in_Block-KG-OSN-2001/3_dd20030807_JOA_GSPC_GEL_GGR.pdf","IN","","2003-08-07T00:00:00","English","corporate","no"
"India Block-RJ-ONN-2004-2 dd20070302 PSC","PSC","India Oil Ltd, Geoglobal Resources","http://downloads.openoil.net/contracts/in/in_Block-RJ-ONN-2004-2_dd20070302_PSC_IndiaOil-Geoglobal.pdf","IN","","2007-03-02T00:00:00","English","corporate","yes"
"Indonesia Bawean-Block dd19810212 PSC","PSC","Perusahaan Pertambangan Minyak Dan Gas Bumi Negara, Kerr-McGee of Indonesia Inc, Quintana Indonesia Ltd, Saheoan Oil of Indonesia Inc, Wainoco International Inc","http://downloads.openoil.net/contracts/id/id_Bawean-Block_dd19810212_PSC_Pertamina%20_Kerr-McGee_Quintana.pdf","ID","","1981-02-12T00:00:00","English","corporate","yes"
"Indonesia Bawean-Block dd20041126 Asset-Purchase-Sale-Agree","Asset-Purchase-Sale-Agree","Indo-Pacific Resources (Java) Ltd, Camar Resources Canada Inc","http://downloads.openoil.net/contracts/id/id_Bawean-Block_dd20041126_Asset-Purchase-Sale-Agree_Indo-Pacific_CRC.pdf","ID","","2004-11-26T00:00:00","English","corporate","no"
"Indonesia Bawean-Block dd20041126 JOA","JOA","Indo-Pacific Resources (Java) Ltd, Camar Resources Canada Inc","http://downloads.openoil.net/contracts/id/id_Bawean-Block_dd20041126_JOA_Indo-Pacific_CRC.pdf","ID","","2004-11-26T00:00:00","English","corporate","no"
"Indonesia Bengara-II Yapen dd20000101 Farmout-Agree","Farmout-Agree","Continental Energy Corporation, Geopetro Resources Company, Apex (Bengara-II) Ltd, Apex (Yapen) Ltd","http://downloads.openoil.net/contracts/id/id_Bengara-II_Yapen_dd20000101_Farmout-Agree_CEC_GeoPetro_Apex.pdf","ID","","2000-01-01T00:00:00","English","corporate","no"
"Indonesia Bengara-II dd20000101 JOA","JOA","Continental Energy Corporation, Geopetro Resources Company, Apex (Bengara-II) Ltd","http://downloads.openoil.net/contracts/id/id_Bengara-II_dd20000101_JOA_CEC_GeoPetro_Apex.pdf","ID","","2000-01-01T00:00:00","English","corporate","no"
"Indonesia Bengara-II dd20060929 Sale-Purchase-Agree","Sale-Purchase-Agree","CNPCHK (Indonesia) Limited, Continental Energy Corporation, Geopetro Resources Company, Cnpc (Hong Kong) Limited","http://downloads.openoil.net/contracts/id/id_Bengara-II_dd20060929_Sale-Purchase-Agree_CNPCHK_Continental_GeoPetro.pdf","ID","","2006-09-29T00:00:00","English","corporate","no"
"Indonesia Bengara-II-Block dd19971204 PSC","PSC","Apex (Bengara-II) Ltd, Perusahaan Pertambangan Minyak Dan Gas Bumi Negara (Pertamina)","http://downloads.openoil.net/contracts/id/id_Bengara-II-Block_dd19971204_PSC_Pertamina_Apex.pdf","ID","","1997-12-04T00:00:00","English","corporate","yes"
"Indonesia Jatiluhur Onshore-W-Java dd19970922 PSC","PSC","Saba Petroluem","http://downloads.openoil.net/contracts/id/id_Jatiluhur_Onshore-W-Java_dd19970922_PSC_Saba-Petroleum.pdf","ID","","1997-09-22T00:00:00","English","corporate","yes"
"Indonesia Kakap Malacca-Strait Southeast-Sumatra dd19950217 Sale-Purchase-Agree","Sale-Purchase-Agree","Oryx Energy Company, Oryx Indonesia Holding Company, Novus Petroleum Limited","http://downloads.openoil.net/contracts/id/id_Kakap_Malacca-Strait_Southeast-Sumatra_dd19950217_Sale-Purchase-Agree_Oryx_Novus.pdf","ID","","1995-02-17T00:00:00","English","corporate","no"
